,AvgRating,GameName,GameRank,GeekRating,ListPrice,NumVoters
1779,"
			5.90		",Spin Monkeys,"
			9504			
					","
			5.543		","]
					","
			170		"
1780,"
			5.78		",Cannibal Pygmies in the Jungle of Doom,"
			9512			
					","
			5.543		","
","
			351		"
1781,"
			6.96		",BetaBotz,"
			9513			
					","
			5.543		","
","
			74		"
1782,"
			6.75		",Little Town Builders,"
			9514			
					","
			5.543		","]
					","
			44		"
1783,"
			6.48		",Dojo,"
			9522			
					","
			5.542		","]
					","
			58		"
1784,"
			6.03		",Pyramidion,"
			9524			
					","
			5.542		","]
					","
			130		"
1785,"
			6.70		","Oh No, There Goes Tokyo!","
			9531			
					","
			5.542		","]
					","
			65		"
1786,"
			6.03		",Sake & Samurai,"
			9532			
					","
			5.542		","]
					","
			183		"
1787,"
			6.03		",Grave Business,"
			9540			
					","
			5.542		","
","
			128		"
1788,"
			5.81		",XXXenophile,"
			9542			
					","
			5.542		","]
					","
			268		"
1789,"
			5.77		",Warhamster Rally,"
			9545			
					","
			5.542		","]
					","
			233		"
1790,"
			6.59		",Nord,"
			9548			
					","
			5.542		","
														
													[","
			55		"
1791,"
			5.72		",Funglish,"
			9549			
					","
			5.542		","
			List: $22.99
		","
			326		"
1792,"
			5.94		",Stalag 17,"
			9554			
					","
			5.542		","
","
			203		"
1793,"
			6.23		",Lagerstätten,"
			9556			
					","
			5.542		","]
					","
			73		"
1794,"
			5.95		",Venezia 2099,"
			9557			
					","
			5.542		","]
					","
			131		"
1795,"
			5.96		",Kissenschlacht,"
			9558			
					","
			5.542		","]
					","
			127		"
1796,"
			5.82		",Alexandria,"
			9559			
					","
			5.542		","]
					","
			225		"
1797,"
			6.42		",Dreamwars,"
			9562			
					","
			5.542		","]
					","
			70		"
1798,"
			6.71		",Goblin Market,"
			9565			
					","
			5.542		","]
					","
			43		"
1799,"
			7.20		",Migration: A Story of Generations,"
			9572			
					","
			5.542		","]
					","
			48		"
1800,"
			5.71		",Atta Ants,"
			9573			
					","
			5.542		","]
					","
			341		"
1801,"
			7.55		",Robotech: Force of Arms,"
			9574			
					","
			5.542		","]
					","
			54		"
1802,"
			6.27		",Insula,"
			9581			
					","
			5.542		","]
					","
			101		"
1803,"
			7.19		",The Color Monster,"
			9584			
					","
			5.542		","]
					","
			38		"
1804,"
			6.97		",TF22: LOAD!,"
			9585			
					","
			5.542		","]
					","
			44		"
1805,"
			6.03		",Lupin the 3rd,"
			9587			
					","
			5.542		","
			List: $64.99
		","
			151		"
1806,"
			6.48		",Dragon Tides,"
			9595			
					","
			5.542		","]
					","
			70		"
1807,"
			5.52		",Tripoley,"
			15207			
					","
			5.483		","
			List: $22.00
		","
			705		"
1808,"
			4.85		",FATAL,"
			15215			
					","
			5.483		","]
					","
			37		"
1809,"
			4.94		",Star Wars: Angriff der Rebellen,"
			15229			
					","
			5.482		","]
					","
			57		"
1810,"
			5.50		",Bear Valley,"
			15230			
					","
			5.482		","
			List: $24.95
		","
			314		"
1811,"
			5.39		",Ninjago: The Board Game,"
			15240			
					","
			5.482		","
","
			139		"
1812,"
			5.47		",Startup Fever,"
			15248			
					","
			5.482		","]
					","
			89		"
1813,"
			5.47		",Sword & Skull,"
			15250			
					","
			5.482		","
","
			725		"
1814,"
			5.36		",Husker Du?,"
			15254			
					","
			5.482		","
			List: $11.99
		","
			86		"
1815,"
			5.56		",Uskoci: A Card Game of Croatian Pirates,"
			15262			
					","
			5.481		","]
					","
			88		"
1816,"
			5.18		",Win/Lose Revolution,"
			15264			
					","
			5.481		","]
					","
			72		"
1817,"
			4.59		",Star Wars: Hoth Ice Planet Adventure Game,"
			15269			
					","
			5.481		","]
					","
			30		"
1818,"
			5.03		",Saqqara,"
			15271			
					","
			5.481		","
			List: $54.99
		","
			50		"
1819,"
			5.22		",Surviving: One month in,"
			15273			
					","
			5.481		","]
					","
			48		"
1820,"
			5.44		",The Big Bang Theory: The Party Game,"
			15290			
					","
			5.481		","
","
			179		"
1821,"
			5.44		",Trivial Pursuit: Volume 6,"
			15293			
					","
			5.481		","
			List: $29.99
		","
			236		"
1822,"
			4.60		","Killer Bunnies and the Journey to Jupiter: Violet, Orange and Green Booster Combo Deck","
						N/A			
					","
			N/A		","]
					","
			9		"
1823,"
			7.79		",Advanced Squad Leader: Starter Kit Bonus Pack #1 – Beyond the Beaches,"
						N/A			
					","
			5.760		","]
					","
			174		"
1824,"
			5.88		",Caption if You Can!,"
						N/A			
					","
			N/A		","]
					","
			21		"
1825,"
			6.88		",The Settlers of Zarahemla Mini-Expansion,"
						N/A			
					","
			N/A		","]
					","
			8		"
1826,"
			7.16		",Ghost Stories: The Village People Expansion,"
						N/A			
					","
			5.696		","]
					","
			181		"
1827,"
			7.26		",League of Six: Loyal Retinue,"
						N/A			
					","
			5.832		","]
					","
			279		"
1828,"
			6.55		",Munchkin Quest 2: Looking for Trouble,"
						N/A			
					","
			5.819		","
			List: $34.99
		","
			663		"
1829,"
			8.14		",ASL Action Pack #5: East Front,"
						N/A			
					","
			5.718		","]
					","
			113		"
